Gambar,Warna_R,Warna_G,Warna_B,Kontras,Homogenitas,Area,Keliling
ambon (1).png,9.811324083333334,16.885698083333335,18.617304166666667,10.174072857619205,0.9478609484108312,11.0,9.242640687119284
ambon (10).png,9.758238833333333,18.019362,19.50339625,4.913580860286762,0.9453842633433721,803818.0,27396.552795886157
ambon (11).png,11.394758916666667,20.817938666666667,22.5991515,5.06385945315105,0.9415802446721583,994014.0,23858.409942387425
ambon (12).png,9.912894750000001,17.024486916666667,18.314148583333335,5.24027909303101,0.9527168280384398,7601.0,1879.1828996322963
ambon (13).png,11.915210083333333,21.313724500000003,22.769016583333336,5.94567372457486,0.9315901301589247,31.0,23.349242404917497
ambon (14).png,10.158300666666667,18.889095833333336,20.188025666666668,5.408073857952651,0.9475719018194747,7.0,7.035533905932738
ambon (15).png,11.696716333333335,22.540200333333335,24.521291,6.335451733911303,0.9325521353229541,13.0,11.86396103067893
ambon (16).png,8.327146583333334,15.605574500000001,16.933115416666666,5.848493664554853,0.9556886242390613,410977.0,14378.043425247835
ambon (17).png,10.793854666666668,17.98723741666667,18.044214,9.52871473824608,0.9500070825032128,339.0,139.1543289325507
ambon (18).png,9.600181916666667,15.65599375,16.454378333333334,9.402610536845616,0.9552213254813394,15.0,12.242640687119286
ambon (19).png,8.014816416666667,16.123434250000003,17.512654166666668,8.466125375125042,0.952692322706886,10.0,9.82842712474619
ambon (2).png,12.452151666666667,21.43422275,22.138320750000002,9.991684561520508,0.9381201550513718,31.0,28.899494936611664
ambon (20).png,8.102587333333334,13.844095583333335,14.955645333333335,8.564793764588195,0.9488942919860062,1.0,0.0
ambon (21).png,8.944012583333334,14.946718250000002,16.108066583333333,10.582023841280426,0.9433151517093881,23.0,21.899494936611667
ambon (22).png,9.391841666666668,16.314913750000002,17.78623525,10.200472157385795,0.9466684930071564,1.0,0.0
ambon (23).png,8.843684,15.769731,17.31030275,10.485931810603539,0.9435671911348147,171.0,99.90559159102153
ambon (24).png,7.712320166666667,13.180133333333334,14.462347833333334,9.944168222740915,0.9466276841715227,55.0,33.72792206135786
ambon (25).png,7.141652916666667,12.712516583333334,13.941725666666667,8.146267422474157,0.9546928707000653,36.0,31.035533905932738
ambon (26).png,7.357180666666667,12.709700916666668,13.999368500000001,7.994904968322776,0.9509889135123154,10.0,9.242640687119284
ambon (27).png,8.105461916666668,14.194118833333334,15.789948666666668,10.334243247749248,0.9448025731201432,1.0,0.0
ambon (28).png,7.059151750000001,13.137692916666667,14.195860166666668,7.069910803601198,0.9462579907882369,74.0,48.17766952966369
ambon (29).png,7.335767250000001,12.27352475,13.132408166666668,8.741512337445815,0.950416701800193,1.0,0.0
ambon (3).png,13.418228583333335,28.332937750000003,30.175474583333337,11.400156718906302,0.9124360877771411,9.0,7.82842712474619
